date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:02	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263c065bd-247b%22	https://ronawind.com/robots.txt		(from )
23:00:02	26398/26398	---M-Z	200	added ('OK')	text/html	etag:W/%22640b7b9d-671e%22	https://ronawind.com/	C:/Benim%20Web%20Sitem/das/ronawind.com/index.html	(from )
23:00:03	777/777	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-309%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/apple-touch-icon.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/apple-touch-icon.png	(from https://ronawind.com/)
23:00:03	315/315	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-13b%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/favicon-32x32.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/favicon-32x32.png	(from https://ronawind.com/)
23:00:03	243/243	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-f3%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/favicon-16x16.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/favicon-16x16.png	(from https://ronawind.com/)
23:00:03	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/site.webmanifest	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/favicon/site.webmanifest	(from https://ronawind.com/)
23:00:04	1026/1026	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22640b7b9d-402%22	https://ronawind.com/images/favicon/safari-pinned-tab.svg	C:/Benim%20Web%20Sitem/das/ronawind.com/images/favicon/safari-pinned-tab.svg	(from https://ronawind.com/)
23:00:04	5508/5508	---M--	200	added ('OK')	font/woff	etag:%22640b7b9d-1584%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/ModerDOS437Win.woff	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/ModerDOS437Win.woff	(from https://ronawind.com/)
23:00:04	66036/66036	---M--	200	added ('OK')	font/woff	etag:%22640b7b9d-101f4%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/Montserrat-Medium.woff	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/Montserrat-Medium.woff	(from https://ronawind.com/)
23:00:04	65900/65900	---M--	200	added ('OK')	font/woff	etag:%22640b7b9d-1016c%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/Montserrat-Regular.woff	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/fonts/Montserrat-Regular.woff	(from https://ronawind.com/)
23:00:05	170620/170620	---M-Z	200	added ('OK')	text/css	etag:W/%22640b7b9d-29a7c%22	https://ronawind.com/wp-content/cache/wmac/css/wmac_7d3cf4015eef87c0e035f113812310b4.css	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/cache/wmac/css/wmac_7d3cf4015eef87c0e035f113812310b4.css	(from https://ronawind.com/)
23:00:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20Mar%202023%2020:00:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Benim%20Web%20Sitem/das/www.googletagmanager.com/gtm.95445.delayed	(from https://ronawind.com/)
23:00:05	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ronawind.com/xmlrpc.php?rsd	C:/Benim%20Web%20Sitem/das/ronawind.com/xmlrpc0db0.php	(from https://ronawind.com/)
23:00:05	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ronawind.com/wp-includes/wlwmanifest.xml	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-includes/wlwmanifest.xml	(from https://ronawind.com/)
23:00:06	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ronawind.com/wp-json/	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-json/index.html	(from https://ronawind.com/)
23:00:06	234233/234233	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-392f9%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/logo_game.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/logo_game.png	(from https://ronawind.com/)
23:00:06	833368/833368	---M--	200	added ('OK')	image/gif	etag:%22640b7b9d-cb758%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp1-bg-m.gif	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp1-bg-m.gif	(from https://ronawind.com/)
23:00:07	10691/10691	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-29c3%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp1-bottom.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp1-bottom.png	(from https://ronawind.com/)
23:00:08	6872/6872	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-1ad8%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp2-bg.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp2-bg.png	(from https://ronawind.com/)
23:00:08	5508/5508	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-1584%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/part-divider.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/part-divider.png	(from https://ronawind.com/)
23:00:08	11056/11056	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-2b30%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp3-top.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp3-top.png	(from https://ronawind.com/)
23:00:08	417/417	---M--	200	added ('OK')	image/png	etag:%22640b7b9d-1a1%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp3-bg.png	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp3-bg.png	(from https://ronawind.com/)
23:00:08	121331/121331	---M--	200	added ('OK')	image/gif	etag:%22640b7b9d-1d9f3%22	https://ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp2-dwarv.gif	C:/Benim%20Web%20Sitem/das/ronawind.com/wp-content/themes/dwarven_skykeep_release/dwarven_skykeep/media/vp2-dwarv.gif	(from https://ronawind.com/)
